Region Code,Provider Code,Provider Name,Total number of incomplete pathways,Average (median) waiting time (in weeks),Month
Y56,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,33866,10.3736434108527,May-2024
Y56,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,73486,13.9567669172932,May-2024
Y56,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,1756,13.3636363636364,May-2024
Y56,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,49728,11.7925,May-2024
Y56,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,98359,14.7937452033768,May-2024
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,68317,13.5321978534764,May-2024
Y58,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,59321,14.1330338631652,May-2024
Y58,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,34263,12.609102244389,May-2024
Y58,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,22180,16.9311740890688,May-2024
Y58,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,36176,11.5547675334909,May-2024
Y58,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,43563,11.0575896262395,May-2024
Y58,RH5,SOMERSET NHS FOUNDATION TRUST,54987,11.4965457685665,May-2024
Y58,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,75145,15.1131674757282,May-2024
Y58,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,955,10.40625,May-2024
Y58,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,48016,13.7551202137133,May-2024
Y58,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,40756,16.3342036553525,May-2024
Y58,RNZ,SALISBURY NHS FOUNDATION TRUST,27410,16.1395631067961,May-2024
Y58,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,69802,12.0389705882353,May-2024
Y58,RVJ,NORTH BRISTOL NHS TRUST,46740,13.2260334212841,May-2024
Y59,R1C,SOLENT NHS TRUST,197,3.20833333333333,May-2024
Y59,R1F,ISLE OF WIGHT NHS TRUST,13496,17.0540540540541,May-2024
Y59,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,39980,15.3443579766537,May-2024
Y59,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,5547,11.0230263157895,May-2024
Y59,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,85306,18.3881856540084,May-2024
Y59,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,59805,12.4175560298826,May-2024
Y59,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,62545,15.6489273927393,May-2024
Y59,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,32790,9.29325014180374,May-2024
Y59,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,52793,14.6585850556439,May-2024
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,29769,11.2103340292276,May-2024
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,43831,17.0627682403433,May-2024
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,18496,13.5378548895899,May-2024
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,82986,14.619375573921,May-2024
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,56544,14.1686429512516,May-2024
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,47801,14.2880200860832,May-2024
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,87486,17.1120331950207,May-2024
Y59,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,3921,6.08039215686274,May-2024
Y59,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,44168,9.97435897435897,May-2024
Y59,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,299,5.26,May-2024
Y59,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,53921,15.0950272479564,May-2024
Y59,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,51631,16.2545787545788,May-2024
Y59,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,141506,20.799463190184,May-2024
Y59,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,3232,4.97590361445783,May-2024
Y60,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,65,5.09375,May-2024
Y60,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,13238,16.3888888888889,May-2024
Y60,RBK,WALSALL HEALTHCARE NHS TRUST,30418,12.1485714285714,May-2024
Y60,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,28706,16.3408450704225,May-2024
Y60,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,33931,13.3194716242661,May-2024
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,79342,16.2579210672596,May-2024
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,35856,13.5660749506903,May-2024
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,69431,16.2692080378251,May-2024
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,15810,18.5412844036697,May-2024
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,92357,16.8268608414239,May-2024
Y60,RLQ,WYE VALLEY NHS TRUST,24176,15.2829076620825,May-2024
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,15994,14.3607594936709,May-2024
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,48375,14.2931330472103,May-2024
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,27804,13.0260115606936,May-2024
Y60,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,42856,11.9662205226259,May-2024
Y60,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,134,10.625,May-2024
Y60,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,26872,13.4110429447853,May-2024
Y60,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,6155,3.26733780760626,May-2024
Y60,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,15731,17.6277472527473,May-2024
Y60,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,129574,17.9491111885674,May-2024
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,106758,16.0907680372382,May-2024
Y60,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,71078,17.1102464332036,May-2024
Y60,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,111037,14.5449810606061,May-2024
Y60,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,61984,15.6016949152542,May-2024
Y60,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,87026,15.3279022403259,May-2024
Y60,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,76242,16.7846770155233,May-2024
Y60,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,44042,17.1661807580175,May-2024
Y60,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,16200,12.771186440678,May-2024
Y61,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,1089,10.1120689655172,May-2024
Y61,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,165660,16.4377682403433,May-2024
